N,T,Total_T
35800,53,4429035
35900,51,4440284
36000,49,4446810
36100,49,4454168
36200,52,4460767
36300,54,4467808
36400,51,4475471
36500,52,4482429
36600,54,4489584
36700,64,4496597
36800,51,4503988
36900,48,4511353
37000,48,4518348
37100,53,4524718
37200,50,4531241
37300,53,4537820
37400,56,4545319
37500,54,4551926
37600,52,4559473
37700,51,4566333
37800,51,4573120
37900,49,4580273
38000,51,4586683
38100,60,4593223
38200,53,4617556
38300,56,4624504
38400,55,4644661
38500,52,4651469
38600,53,4658402
38700,608,4666823
38800,52,4674064
38900,70,4681451
39000,50,4688215
39100,55,4694851
39200,49,4701647
39300,52,4709021
39400,62,4716088
39500,59,4722978
39600,50,4729963
39700,60,4737030
39800,55,4744179
39900,66,4752715
40000,49,4759974
40100,51,4766927
40200,51,4774069
40300,54,4781231
40400,63,4788692
40500,55,4797157
40600,53,4804467
40700,69,4811829
40800,62,4819277
40900,63,4826973
41000,48,4834424
41100,49,4841546
41200,57,4848681
41300,50,4859183
41400,51,4865683
41500,50,4872480
41600,47,4879123
41700,51,4886247
41800,53,4892995
41900,53,4899793
42000,47,4906946
42100,50,4913488
42200,51,4920814
42300,53,4927545
42400,51,4934544
42500,49,4942362
42600,52,4949094
42700,52,4956082
42800,52,4963814
42900,53,4971136
43000,59,4978544
43100,60,4985148
43200,50,4991944
43300,49,4999078
43400,54,5006457
43500,65,5013753
43600,51,5020631
43700,53,5027506
43800,51,5035563
43900,67,5042744
44000,63,5050854
44100,52,5058033
44200,52,5065094
44300,52,5072233
44400,66,5079519
44500,54,5086798
44600,55,5094911
44700,64,5102213
44800,51,5109813
44900,57,5117227
45000,64,5124968
45100,698,5133710
45200,48,5140310
45300,53,5147010
45400,50,5153851
45500,63,5160931
45600,47,5167955
45700,52,5175481
45800,61,5182613
45900,54,5189799
46000,63,5197156
46100,51,5204946
46200,61,5211749
46300,65,5220318
46400,49,5227458
46500,61,5234617
46600,50,5241981
46700,63,5253744
46800,61,5261190
46900,56,5269268
47000,66,5276872
47100,70,5284606
47200,50,5291517
47300,51,5298546
47400,52,5305824
47500,62,5313641
47600,63,5321630
47700,53,5328762
47800,54,5336068
47900,65,5343519
48000,52,5351085
48100,66,5359394
48200,54,5366825
48300,54,5374267
48400,53,5381787
48500,57,5389267
48600,67,5397553
48700,64,5405261
48800,61,5412750
48900,62,5421471
49000,67,5429220
49100,56,5437200
49200,50,5447101
49300,50,5453585
49400,50,5473092
49500,52,5479603
49600,49,5486330
49700,49,5493135
49800,50,5500383
49900,54,5507010
50000,49,5513859
50100,53,5520920
50200,47,5528625
50300,52,5535073
50400,53,5542324
50500,51,5549062
50600,50,5556121
50700,51,5563263
50800,52,5570129
50900,53,5577160
51000,54,5584982
51100,62,5592340
51200,60,5600028
51300,49,5606465
51400,50,5613049
51500,71,5621238
51600,50,5628086
51700,55,5635364
51800,52,5642206
51900,63,5653709
52000,50,5660801
52100,53,5668634
52200,66,5676138
52300,52,5683124
52400,52,5690046
52500,51,5697211
52600,56,5705146
52700,64,5713033
52800,52,5720314
52900,62,5727588
53000,51,5734997
53100,55,5742489
53200,64,5750273
53300,51,5758001
53400,50,5764601
53500,65,5771432
53600,52,5778219
53700,51,5785147
53800,51,5792200
53900,52,5800266
54000,66,5807320
54100,53,5814441
54200,65,5821762
54300,53,5829174
54400,636,5837152
54500,61,5844139
54600,51,5851310
54700,55,5858684
54800,51,5866122
54900,54,5873337
55000,55,5881270
55100,57,5889383
55200,63,5897028
55300,48,5904906
55400,51,5911777
55500,53,5918817
55600,55,5926657
55700,55,5933964
55800,58,5941412
55900,54,5948612
56000,51,5956044
56100,62,5963643
56200,62,5972019
56300,57,5979687
56400,52,5987612
56500,54,5994873
56600,63,6002495
56700,68,6010050
56800,65,6018321
56900,62,6026166
57000,63,6033718
57100,64,6041351
57200,66,6049372
57300,58,6061471
57400,51,6069618
57500,63,6076338
57600,47,6083514
57700,53,6090867
57800,51,6097963
57900,56,6105641
58000,51,6112612
58100,56,6119628
58200,52,6126648
58300,64,6133870
58400,49,6141187
58500,50,6148527
58600,54,6155538
58700,53,6162582
58800,61,6169883
58900,60,6177208
59000,54,6185071
59100,64,6192985
59200,52,6200393
59300,62,6208006
59400,56,6215754
59500,53,6222467
59600,51,6229546
59700,53,6237386
59800,65,6244729
59900,68,6252103
60000,53,6259981
60100,63,6267521
60200,63,6291428
60300,64,6300576
60400,66,6321255
60500,53,6328665
60600,64,6335986
60700,63,6343396
60800,699,6351624
60900,66,6359283
61000,62,6366829
61100,55,6374387
61200,63,6382298
61300,61,6390193
61400,62,6398842
61500,55,6406971
61600,51,6414172
61700,51,6421552
61800,62,6428755
61900,54,6436044
62000,51,6444092
62100,53,6451450
62200,57,6458942
62300,66,6466448
62400,61,6474000
62500,50,6481490
62600,52,6494302
62700,59,6501727
62800,62,6510499
62900,55,6518039
63000,62,6525709
63100,67,6533220
63200,64,6541276
63300,63,6549045
63400,64,6556698
63500,51,6564525
63600,63,6571807
63700,54,6579140
63800,56,6587298
63900,59,6594927
64000,58,6602818
64100,64,6610870
64200,65,6618419
64300,58,6626740
64400,64,6634484
64500,62,6642429
64600,54,6650117
64700,66,6657709
64800,62,6665596
64900,66,6673930
65000,66,6681724
65100,65,6689535
65200,65,6697212
65300,64,6705065
65400,59,6713556
65500,71,6722182
65600,51,6730091
65700,47,6736487
65800,51,6743067
65900,50,6749284
66000,56,6755752
66100,50,6762919
66200,48,6769281
66300,54,6775696
66400,57,6782154
66500,51,6788782
66600,47,6795581
66700,50,6803194
66800,50,6809712
66900,51,6816157
67000,50,6822714
67100,50,6829448
67200,624,6836578
67300,51,6843223
67400,50,6850080
67500,52,6857017
67600,52,6864205
67700,52,6870561
67800,52,6877480
67900,52,6884639
68000,49,6895424
68100,47,6902146
68200,50,6908443
68300,51,6914881
68400,53,6922637
68500,52,6929544
68600,56,6936686
68700,60,6943334
68800,48,6949930
68900,50,6956570
69000,51,6964017
69100,54,6971019
69200,50,6978574
69300,52,6985372
69400,52,6992463
69500,54,6999517
69600,62,7007558
69700,54,7014226
69800,48,7020575
69900,48,7027020
70000,50,7033493
70100,59,7040098
70200,50,7047542
70300,52,7054078
70400,55,7061049
70500,51,7068210
70600,51,7075178
70700,52,7082792
70800,49,7089331
70900,52,7096100
71000,52,7102783
71100,54,7109678
71200,54,7116724
71300,51,7141238
71400,68,7148418
71500,60,7168461
71600,62,7175758
71700,49,7183172
71800,51,7190621
71900,54,7197911
72000,49,7204680
72100,51,7211367
72200,48,7218540
72300,53,7225218
72400,52,7232193
72500,54,7239881
72600,62,7247335
72700,70,7255094
72800,50,7261945
72900,52,7268956
73000,51,7276193
73100,63,7284771
73200,64,7292273
73300,53,7299474
73400,54,7311386
73500,64,7318872
73600,638,7326992
73700,67,7349872
73800,49,7356792
73900,51,7363333
74000,49,7370030
74100,52,7376947
74200,52,7384509
74300,53,7391944
74400,51,7398593
74500,51,7405596
74600,54,7412535
74700,55,7419715
74800,50,7427264
74900,52,7433917
75000,54,7441067
75100,54,7447921
75200,52,7455059
75300,53,7462231
75400,52,7469923
75500,55,7477137
75600,53,7485092
75700,55,7492685
75800,49,7500225
75900,54,7519837
76000,51,7527074
76100,51,7533763
76200,52,7540719
76300,50,7547814
76400,53,7554576
76500,54,7561572
76600,55,7569439
76700,55,7576732
76800,48,7584304
76900,60,7592188
77000,50,7599123
77100,55,7606880
77200,51,7614013
77300,59,7621312
77400,54,7628602
77500,56,7636011
77600,51,7643541
77700,65,7651643
77800,65,7659264
77900,52,7666156
78000,59,7672814
78100,50,7679712
78200,54,7687141
78300,67,7695025
78400,47,7702191
78500,52,7709140
78600,50,7716312
78700,54,7723306
78800,61,7735001
78900,53,7742687
79000,51,7749771
79100,65,7756889
79200,52,7764018
79300,61,7771353
79400,53,7778668
79500,59,7787126
79600,62,7794322
79700,54,7802136
79800,55,7809717
79900,52,7817257
80000,621,7824800
80100,53,7831795
80200,54,7839070
80300,56,7846319
80400,50,7853827
80500,54,7861043
80600,56,7869026
80700,65,7877127
80800,62,7884639
80900,51,7892286
81000,54,7899454
81100,54,7906833
81200,66,7915138
81300,54,7922659
81400,58,7930225
81500,56,7937837
81600,62,7945447
81700,63,7953219
81800,63,7961514
81900,58,7969446
82000,47,7977142
82100,51,7983553
82200,50,8008380
82300,54,8015001
82400,51,8035299
82500,49,8042370
82600,51,8048802
82700,51,8055587
82800,51,8062363
82900,54,8069352
83000,50,8076965
83100,50,8083410
83200,47,8090260
83300,50,8097668
83400,51,8104704
83500,61,8112359
83600,50,8119282
83700,55,8126382
83800,62,8133520
83900,67,8141120
84000,48,8148455
84100,51,8159859
84200,52,8166577
84300,51,8173291
84400,52,8180135
84500,51,8187385
84600,53,8194880
84700,65,8202435
84800,50,8209677
84900,63,8217031
85000,49,8224535
85100,54,8231316
85200,51,8238379
85300,54,8246590
85400,62,8253929
85500,68,8261303
85600,53,8268631
85700,62,8275862
85800,63,8283413
85900,62,8292488
86000,66,8300109
86100,53,8306953
86200,52,8313556
86300,53,8320442
86400,603,8328061
86500,63,8335105
86600,50,8342038
86700,53,8348927
86800,50,8356257
86900,54,8363653
87000,58,8371659
87100,55,8379571
87200,58,8386499
87300,51,8393736
87400,64,8400834
87500,54,8408113
87600,51,8416203
87700,54,8423430
87800,59,8430876
87900,54,8438302
88000,61,8445912
88100,50,8453203
88200,51,8461154
88300,67,8468259
88400,53,8476144
88500,55,8483543
88600,53,8490997
88700,65,8498177
88800,63,8506139
88900,62,8513727
89000,64,8521377
89100,52,8529170
89200,61,8536416
89300,55,8543724
89400,63,8551875
89500,56,8563487
89600,52,8571260
89700,65,8579456
89800,63,8587226
89900,66,8595770
90000,65,8603582
90100,59,8611485
90200,51,8618380
90300,54,8625114
90400,49,8632052
90500,52,8639418
90600,54,8646494
90700,51,8653409
90800,51,8660393
90900,52,8667492
91000,64,8675831
91100,68,8683869
91200,50,8691100
91300,59,8698006
91400,51,8705140
91500,54,8712326
91600,62,8719677
91700,54,8727578
91800,67,8734820
91900,59,8742314
92000,61,8749760
92100,63,8757418
92200,49,8764694
92300,51,8772814
92400,63,8780033
92500,52,8787116
92600,55,8794596
92700,62,8801928
92800,604,8809669
92900,57,8833288
93000,65,8840978
93100,55,8848772
93200,49,8856561
93300,54,8863782
93400,59,8872277
93500,66,8880582
93600,62,8888102
93700,52,8895741
93800,63,8903634
93900,55,8911241
94000,67,8919772
94100,60,8927438
94200,57,8935273
94300,53,8942197
94400,49,8949373
94500,60,8956617
94600,52,8964725
94700,69,8972212
94800,51,8980324
94900,55,8991451
95000,62,8999008
95100,68,9006541
95200,65,9014739
95300,61,9022128
95400,60,9029436
95500,63,9036837
95600,63,9044163
95700,55,9051726
95800,65,9060125
95900,65,9067758
96000,52,9075520
96100,66,9083765
96200,65,9091452
96300,57,9099581
96400,51,9106949
96500,60,9114401
96600,54,9122334
96700,57,9129832
96800,51,9137440
96900,61,9145501
97000,58,9153112
97100,66,9160849
97200,66,9168585
97300,62,9176478
97400,65,9184665
97500,58,9192978
97600,63,9200796
97700,67,9208437
97800,60,9216203
97900,54,9223831
98000,65,9231555
98100,68,9240270
98200,68,9248221
98300,72,9256262
98400,55,9263057
98500,49,9269534
98600,49,9276131
98700,51,9283997
98800,53,9290805
98900,51,9297399
99000,52,9304044
99100,52,9310919
99200,625,9318392
99300,62,9325504
99400,50,9332689
99500,61,9339268
99600,50,9346151
99700,53,9352996
99800,63,9360545
99900,56,9368203
100000,51,9375057
100100,50,9382206
100200,55,9389308
100300,56,9399832
100400,49,9407589
100500,52,9414183
100600,53,9420966
100700,54,9427759
100800,51,9434714
100900,51,9441757
101000,51,9449269
101100,56,9456273
101200,54,9464065
101300,54,9471701
101400,52,9479205
101500,64,9486091
101600,52,9493838
101700,52,9500931
101800,62,9508179
101900,60,9515580
102000,63,9522817
102100,66,9530289
102200,58,9539209
102300,66,9546798
102400,57,9554625
102500,51,9561015
102600,51,9567073
102700,53,9573106
102800,50,9580497
102900,55,9587610
103000,51,9594558
103100,63,9601526
103200,51,9608678
103300,52,9616490
103400,62,9623834
103500,52,9631399
103600,52,9638365
103700,51,9646777
103800,56,9669411
103900,55,9690323
104000,52,9697697
104100,62,9705001
104200,52,9712471
104300,57,9719953
104400,65,9727756
104500,52,9735750
104600,52,9742803
104700,64,9750412
104800,52,9758189
104900,62,9765490
105000,51,9772838
105100,61,9780719
105200,63,9788214
105300,55,9795611
105400,65,9806514
105500,62,9814061
105600,53,9822014
105700,54,9829436
105800,61,9836750
105900,54,9844301
106000,51,9851941
106100,57,9860162
106200,59,9868313
106300,59,9876117
106400,64,9884050
106500,56,9892033
106600,50,9898639
106700,51,9905340
106800,50,9912785
106900,54,9919745
