N,T,Total_T
35800,123,4932028
35900,111,4943273
36000,87,4954037
36100,84,4978739
36200,111,4989964
36300,124,5002319
36400,98,5014471
36500,111,5026351
36600,139,5039363
36700,138,5051861
36800,111,5065552
36900,73,5077693
37000,74,5086931
37100,115,5096953
37200,85,5106971
37300,116,5117819
37400,85,5129104
37500,122,5139613
37600,98,5150765
37700,97,5162167
37800,112,5174179
37900,87,5186914
38000,98,5197060
38100,111,5208120
38200,109,5219604
38300,124,5231567
38400,73,5244761
38500,115,5255809
38600,113,5268198
38700,126,5280992
38800,113,5294254
38900,152,5308468
39000,97,5318868
39100,125,5329891
39200,87,5341417
39300,97,5353251
39400,124,5365789
39500,113,5377475
39600,113,5389623
39700,113,5402551
39800,137,5415583
39900,147,5429334
40000,86,5441777
40100,110,5453669
40200,98,5466790
40300,137,5479452
40400,124,5493139
40500,126,5506555
40600,125,5519774
40700,164,5534232
40800,124,5548039
40900,137,5577445
41000,73,5590154
41100,87,5599428
41200,99,5609586
41300,99,5619543
41400,112,5630475
41500,98,5641671
41600,73,5652294
41700,112,5663347
41800,98,5674757
41900,125,5686775
42000,72,5699357
42100,112,5709616
42200,113,5720682
42300,130,5732214
42400,99,5744176
42500,86,5757203
42600,110,5768404
42700,124,5780760
42800,112,5793523
42900,123,5806709
43000,153,5821022
43100,111,5831207
43200,87,5842248
43300,97,5853660
43400,100,5865530
43500,138,5878185
43600,98,5889776
43700,122,5901942
43800,113,5914876
43900,154,5928022
44000,124,5941770
44100,99,5954015
44200,111,5966007
44300,112,5979057
44400,125,5991824
44500,139,6005511
44600,126,6018898
44700,139,6032162
44800,99,6046738
44900,138,6060421
45000,138,6075425
45100,97,6088502
45200,88,6114411
45300,130,6126207
45400,114,6137661
45500,143,6150231
45600,88,6164165
45700,98,6176057
45800,125,6188555
45900,124,6201235
46000,124,6214680
46100,101,6228401
46200,122,6240098
46300,139,6252497
46400,100,6265319
46500,126,6278569
46600,98,6292880
46700,139,6305553
46800,124,6319280
46900,139,6333411
47000,139,6347979
47100,175,6363758
47200,99,6375033
