N,T,Total_T
38200,75,1670947
38300,64,1675185
38400,118,1679787
38500,51,1684036
38600,77,1688290
38700,54,1692595
38800,77,1697080
38900,78,1701631
39000,69,1706342
39100,73,1710570
39200,83,1714801
39300,59,1718931
39400,57,1723200
39500,66,1727567
39600,77,1731774
39700,50,1736197
39800,87,1740511
39900,65,1744985
40000,74,1749707
40100,50,1754005
40200,81,1758475
40300,57,1762669
40400,85,1767205
40500,54,1771967
40600,75,1776439
40700,89,1781011
40800,106,1785488
40900,56,1790317
41000,59,1795547
41100,68,1800065
41200,105,1804305
41300,50,1808495
41400,96,1812858
41500,66,1817149
41600,111,1821391
41700,51,1825442
41800,92,1829847
41900,81,1834151
42000,94,1838762
42100,51,1842955
42200,64,1847134
42300,62,1851312
42400,66,1855488
42500,55,1860086
42600,64,1864240
42700,54,1868434
42800,73,1872805
42900,72,1877373
43000,115,1882095
43100,50,1886621
43200,97,1890862
43300,59,1895142
43400,82,1899409
43500,68,1903717
43600,71,1908166
43700,63,1912446
43800,77,1916839
43900,103,1921236
44000,111,1925912
44100,67,1930590
44200,70,1934915
44300,50,1939371
44400,67,1943692
44500,54,1948161
44600,67,1952895
44700,66,1957271
44800,135,1961984
44900,55,1966313
45000,68,1971388
45100,71,1976541
45200,53,1980949
45300,56,1985305
45400,55,1989599
45500,78,1994062
45600,86,1998630
45700,59,2002715
45800,77,2006984
45900,69,2011489
46000,99,2015933
46100,78,2020615
46200,63,2024917
46300,68,2029259
46400,106,2033665
46500,56,2038075
46600,78,2042889
46700,57,2047209
46800,81,2051625
46900,56,2056354
47000,67,2061017
47100,123,2066096
47200,97,2070872
47300,60,2075180
47400,91,2079659
47500,54,2084109
47600,108,2088636
47700,53,2093095
47800,59,2097398
47900,66,2101995
48000,133,2106819
48100,70,2111528
48200,72,2116287
48300,63,2120673
48400,78,2125287
48500,65,2129725
48600,111,2134359
48700,68,2139217
48800,106,2143796
48900,73,2148691
49000,89,2153280
49100,69,2158299
49200,101,2163830
49300,47,2168380
49400,92,2172636
49500,60,2177148
49600,81,2181514
49700,47,2185882
49800,50,2190070
49900,62,2194234
50000,99,2198540
50100,80,2202934
50200,88,2207628
50300,71,2211796
50400,99,2216039
50500,78,2220231
50600,54,2224512
50700,60,2228959
50800,102,2233127
50900,62,2238719
51000,82,2243256
51100,72,2247565
51200,153,2252402
51300,50,2256668
51400,51,2260939
51500,53,2265314
51600,89,2269618
51700,72,2274070
51800,74,2278389
51900,77,2282605
52000,98,2287063
52100,74,2291462
52200,76,2295980
52300,63,2300656
52400,69,2304854
52500,52,2309276
52600,110,2313530
52700,79,2317960
52800,113,2322682
52900,65,2327050
53000,71,2331884
53100,78,2336343
53200,85,2341096
53300,49,2346268
53400,81,2350694
53500,86,2355029
53600,90,2359241
53700,58,2363569
53800,87,2368067
53900,50,2372475
54000,73,2376823
54100,53,2381117
54200,87,2385619
54300,68,2390501
54400,101,2394884
54500,71,2399085
54600,55,2403352
54700,57,2407679
54800,76,2412535
54900,56,2416870
55000,82,2421341
55100,98,2426020
55200,89,2430671
55300,83,2435979
55400,89,2440462
55500,54,2444844
55600,75,2449259
55700,60,2453734
55800,111,2458347
55900,62,2462854
56000,111,2467324
56100,72,2471917
56200,64,2476491
56300,81,2481318
56400,87,2486352
56500,63,2490776
56600,75,2495483
56700,78,2500045
56800,105,2504815
56900,69,2509899
57000,58,2514498
57100,80,2519502
57200,104,2524224
57300,87,2529254
57400,96,2534577
57500,96,2539042
57600,105,2543555
57700,51,2547839
57800,71,2552325
57900,58,2556890
58000,93,2561227
58100,62,2565543
58200,54,2569983
58300,114,2574620
58400,87,2579391
58500,66,2583708
58600,68,2588040
58700,54,2592363
58800,74,2596780
58900,61,2601521
59000,83,2605835
59100,58,2610172
59200,113,2614877
59300,58,2619480
59400,82,2624772
59500,77,2629284
59600,78,2633679
59700,55,2638011
59800,73,2642448
59900,87,2647033
60000,89,2651455
60100,53,2655924
60200,66,2660499
60300,55,2665178
60400,105,2670228
60500,61,2675094
60600,81,2679687
60700,55,2684351
60800,125,2688878
60900,66,2693573
61000,57,2698443
61100,58,2702997
61200,96,2707980
61300,71,2713055
61400,86,2718147
61500,92,2723559
61600,95,2728157
61700,91,2732799
61800,84,2737112
61900,66,2741710
62000,81,2746324
62100,63,2750784
62200,99,2755303
62300,71,2759860
62400,108,2764575
62500,51,2769578
62600,64,2774029
62700,70,2778471
62800,113,2783121
62900,66,2787688
63000,87,2792562
63100,67,2797036
63200,116,2801747
63300,55,2806632
63400,74,2811348
63500,83,2816744
63600,98,2821549
63700,74,2826106
63800,74,2832040
63900,66,2836710
64000,139,2841587
64100,57,2846064
64200,78,2850732
64300,57,2855455
64400,68,2860293
64500,72,2865221
64600,86,2870228
64700,72,2874736
64800,79,2879439
64900,58,2884240
65000,71,2889112
65100,58,2894084
65200,91,2898837
65300,65,2903904
65400,109,2908816
65500,99,2914088
65600,97,2919815
65700,71,2924022
65800,67,2928410
65900,67,2932313
66000,89,2936475
66100,63,2940914
66200,58,2945024
66300,90,2949282
66400,105,2953313
66500,59,2957629
66600,48,2962141
66700,55,2966193
66800,90,2970180
66900,66,2974210
67000,87,2978431
67100,56,2982859
67200,110,2987115
67300,52,2991186
67400,61,2995476
67500,54,2999718
67600,90,3004611
67700,49,3008696
67800,83,3012819
67900,52,3016947
68000,97,3021152
68100,59,3025458
68200,69,3029509
68300,58,3033589
68400,76,3037874
68500,62,3042242
68600,111,3046929
68700,51,3051275
68800,108,3055430
