N,T,Total_T
40100,25,760027
40200,15,761693
40300,15,763360
40400,28,765081
40500,16,766777
40600,24,768441
40700,19,770118
40800,20,771800
40900,21,773466
41000,20,775224
41100,15,776911
41200,29,778630
41300,14,780343
41400,24,782020
41500,15,783664
41600,23,785358
41700,15,787001
41800,20,788679
41900,14,790335
42000,38,791984
42100,15,793641
42200,15,795355
42300,26,797045
42400,15,798679
42500,14,800384
42600,28,801985
42700,15,803684
42800,15,805343
42900,15,806962
43000,24,808604
43100,20,810307
43200,34,811985
43300,15,813614
43400,24,815299
43500,15,817032
43600,21,818685
43700,16,820382
43800,15,822062
43900,16,823726
44000,16,825463
44100,30,827124
44200,21,828799
44300,16,830548
44400,15,832203
44500,16,833858
44600,21,835537
44700,21,837235
44800,20,838945
44900,15,840580
45000,19,842284
45100,21,844010
45200,35,845676
45300,15,847346
45400,15,864908
45500,15,866592
45600,15,868239
45700,20,869906
45800,27,871543
45900,15,873239
46000,15,874856
46100,15,876601
46200,15,878226
46300,16,879868
46400,14,881535
46500,16,883142
46600,37,884848
46700,15,886571
46800,21,888238
46900,16,889943
47000,20,891576
47100,34,893271
47200,24,894942
47300,15,896639
47400,21,898335
47500,25,900055
47600,16,901738
47700,15,903418
47800,14,905084
47900,25,906734
48000,19,908403
48100,20,910078
48200,14,911750
48300,14,913460
48400,14,915203
48500,21,916853
48600,20,918489
48700,20,920148
48800,15,921847
48900,15,923544
49000,20,925235
49100,14,926986
49200,20,928704
49300,16,930398
49400,21,932086
49500,16,933799
49600,24,935505
49700,14,937127
49800,29,938837
49900,20,940510
50000,19,942249
50100,15,943943
50200,20,945598
50300,19,947267
50400,14,948899
50500,30,950555
50600,15,952203
50700,15,953861
50800,15,955522
50900,15,957120
51000,24,958838
51100,15,960546
51200,25,962273
51300,20,963970
51400,15,965658
51500,14,967342
51600,16,969008
51700,14,970710
51800,20,972412
51900,35,974113
52000,20,975832
52100,16,977503
52200,25,979197
52300,21,980906
52400,19,982605
52500,15,984320
52600,35,985957
52700,14,987680
52800,22,989328
52900,19,991048
53000,24,992718
53100,15,994357
53200,17,996052
53300,15,999262
53400,26,1000946
53500,25,1002590
53600,26,1004223
53700,15,1005876
53800,15,1007525
53900,16,1009194
54000,16,1010823
54100,21,1012499
54200,14,1014169
54300,21,1015841
54400,21,1017500
54500,15,1019194
54600,15,1020837
54700,16,1022550
54800,14,1024209
54900,16,1025792
55000,24,1027428
55100,15,1029091
55200,26,1030777
55300,19,1032469
55400,25,1034076
55500,16,1035765
55600,24,1037475
55700,15,1039115
55800,19,1040839
55900,16,1042464
56000,14,1044130
56100,21,1045808
56200,27,1047491
56300,14,1049171
56400,15,1050868
56500,15,1052488
56600,16,1054131
56700,24,1055850
56800,19,1057535
56900,21,1059241
57000,22,1060887
57100,15,1062657
57200,20,1064405
57300,15,1066121
57400,16,1067837
57500,25,1069552
57600,23,1071280
57700,15,1072971
57800,15,1074603
57900,20,1076279
58000,19,1077951
58100,20,1079582
58200,20,1081223
58300,15,1082891
58400,41,1084617
58500,16,1086260
58600,16,1087947
58700,15,1089600
58800,15,1091321
58900,20,1093068
59000,28,1094754
59100,15,1096519
59200,20,1098300
59300,23,1100014
59400,21,1101741
59500,15,1103416
59600,20,1105082
59700,15,1106748
59800,21,1108408
59900,24,1110134
60000,21,1111816
60100,15,1113534
60200,14,1115183
60300,16,1116820
60400,19,1118510
60500,15,1120145
60600,19,1121859
60700,20,1123503
60800,16,1125195
60900,18,1126892
61000,16,1128525
61100,24,1130265
61200,29,1131968
61300,15,1133604
61400,19,1135305
61500,15,1137027
61600,24,1138655
61700,15,1140338
61800,16,1141966
61900,20,1143636
62000,16,1145302
62100,15,1146988
62200,31,1148693
62300,20,1150327
62400,19,1151936
62500,25,1153551
62600,31,1155237
62700,19,1156904
62800,15,1158530
62900,15,1160240
63000,20,1161976
63100,25,1163675
63200,25,1165343
63300,15,1166969
63400,25,1168633
63500,15,1170361
63600,24,1172041
63700,21,1173732
63800,15,1175386
63900,20,1177070
64000,21,1178746
64100,21,1180423
64200,20,1182115
64300,23,1183829
64400,20,1185502
64500,23,1187211
64600,15,1188890
64700,15,1190520
